"제조국","브랜드","이름","최소가격","최대가격","차종","엔진","최소연비","최대연비","최소출력","최대출력","출시년도","차량번호","내용","상세사진","색상1","색상2","색상3","색상4","색상5","색상6","색상7","색상8","색상9","색상10","색상1코드","색상2코드","색상3코드","색상4코드","색상5코드","색상6코드","색상7코드","색상8코드","색상9코드","색상10코드"
"유럽","포르쉐","Taycan",12380,24740,"스포츠카","전기","2.8","2.9","350","500",2024,10795,"타이칸은 혁신적인 컨셉트로 미래를 준비하고 있습니다   포르쉐가 추구하는 순수함, 과감한 표현, 시공의 초월  구동 장치 구성 요소들의 완벽한 상호 작용을 위해 타협이란 없었습니다 ",14611,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","현대","더 뉴 싼타페",3277,4546,"중형 SUV","가솔린, 디젤","9.7","11","281","281",2024,10978,"도심형 패밀리 SUV의 혁신적인 진화 SANTA FE  강렬하지만 은은한 우아함이 느껴지는 실루엣과 부드럽게 이어지는 후면부 디자인  차세대 플랫폼의 저중심 설계와 최적화된 전/후륜 지오메트리 신규 배치  디지털 키와 연동된 개인화 프로필을 통해 시트 포지션뿐 아니라 운전자 인식형 스마트 주행모드",10987,"라군 블루 펄(UE3) ","글래시어 화이트 메탈릭(W3A) ","어비스 블랙 펄(A2B) ","팬텀 블랙 펄(NKA) ","타이가 브라운 펄(RN7) ","포레스트 그레이 메탈릭(R2F) ","마그네틱 그레이 메탈릭(M2F) ","크리미 화이트 펄(WW2) ",NULL,NULL,"#006796","#c3c6c6","#000000","#010000","#534e4a","#313B38","#434243","#dddddd",NULL,NULL
"미국","캐딜락","CT4",4935,4935,"중형","가솔린","10.6","10.6","240","240",2020,11163,"EXPLORE 2020 CT4  강력한 4기통 2 0리터 터보 엔진이 탑재  운전자와 상관없이  도로에 상관없이 ",11164,"Black Raven ","Shadow Metallic ","Satin Steel Metallic ","Red Obsession Tintcoat ","Infrared Tintcoat ","Velocity Red ","Evergreen Metallic ","Wave Metallic ","Summit White ","Crystal White Tricoat ","#000000","#0e2c2b","#7b7e81","#811315","#a22628","#ce1c29","#313b32","#0e4390","#######","#cecfd1"
"미국","캐딜락","CT5",5640,14000,"대형","가솔린","6.1","10.2","240","477",2020,11165,"EXPLORE 2020 CT5  풍부한 스타일로 대담하게 디자인된 각 모델은 확장된 자기표현을 위한 독창적인 특징을 갖습니다   공기역학에 최적화된 외관 디자인  정확한 코너링, CT5의 당당한 스탠스는 도로에 단단히 밀착된 느낌을 줍니다 ",11166,"Black Raven ","Shadow Metallic ","Garnet Metallic ","Rift Metallic ","Satin Steel Metallic ","Radiant Red Tincoat ","Red Obsession Tintcoat ","Infrared Tintcoat ","Velocity Red ","Wave Metallic ","#000000","#0e2c2b","#39272c","#e4e5e0","#7b7e81","#9d1c27","#811315","#a22628","#ce1c29","#0e4390"
"일본","혼다","New CR-V",3900,4850,"중형 SUV","가솔린, 하이브리드","11.5","14.5","145","193",2022,11217,"이 시대를 더 다이내믹하게 즐기고 싶은 당신을 위해 대담한 스타일링과 최첨단 기술,  견고한 주행 성능과 안전으로 정제된 새로운 CR-V Turbo를 선보입니다   디자인에서 독창적인 감각을 느끼고, 섬세한 배려에 감동할 수 있도록 CR-V Turbo가  그 특유의 다이내믹한 감성을 매 순간 순수하고 강렬한 즐거움으로 바꾸어 놓습니다 ",11218,"Radiant Red Metallic ","Platinum White Pearl ","Lunar Silver Metallic ","Modern Steel Metallic ","Crystal Black Pearl ","Obisidian Blue Pearl ",NULL,NULL,NULL,NULL,"#7f141c","#faf9f7","#a5a6a8","#45464b","#403d43","#071b3d",NULL,NULL,NULL,NULL
"유럽","벤틀리","New Continental",32890,46310,"대형","가솔린","7.4","7.4","550","550",2024,11244,"CONTINENTAL GT V8 COUPE   누구도 따라올 수 없는 파워,정교한 장인 정신, 최첨단 기술  그리고 공기의 흐름을 통해 날렵한 라인이 만들어지는  이 아름다운 작품은 새로운 시대의 시작을 알립니다 ",11245,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","기아","신형 쏘렌토 HEV 4세대",3773,4795,"중형 SUV","가솔린, 하이브리드","13.2","15.3","180","180",2023,11303,"After 6 Life begins  새로운 시대의 라이프 플랫폼 SORENTO  혁신으로 완성된 정제된 강렬함, SUV의 새로운 디자인을 제시하다   신규 플랫폼(N3), 주행 신기술, 첨단 안전 기술로 가장 여유 있고 안전한 드라이빙  동급 최초 2열 독립 시트와 탑승자를 배려한 실내 편의 사양",8136,"스노우 화이트 펄(SWP) ","플라티늄 그라파이트(ABT) ","오로라 블랙펄(ABP) ","런웨이 레드(CR5) ","미네랄 블루(M4B) ",NULL,NULL,NULL,NULL,NULL,"#e6e7e6","#575859","#0E0E10","#852b33","#22456d",NULL,NULL,NULL,NULL,NULL
"유럽","푸조","All-New e-208",4900,5300,"소형","전기","4.4","5.4","100","136",2023,11365,"PEUGEOT e-208은 100% 전기 파워트레인이 탑재되어 있어 운전자에게  활기차고 즐거운 주행 경험을 선사합니다   2020 유럽 올해의 차 수상에 빛나는, 완벽하게 설계된 도심형 전기자동차 NEW PEUGEOT e-208을 만나보세요!  매혹적인 NEW PEUGEOT e-208은 전기차가 가질 수 있는 모든 것을 갖추고 있습니다 ",11366,"Vertigo Blue ","Cumulus Grey ","Nera Black ","Pearl White ","Bianca White ","Elixir Red ","Faro Yellow ",NULL,NULL,NULL,"#1579df","#939496","#120e13","#e5e5e5","#f1f1f1","#b0061f","#d99900",NULL,NULL,NULL
"유럽","볼보","The New S90",6350,7400,"대형","가솔린","10.2","11.7","250","300",2024,11406,"브랜드 헤리티지를 현대적으로 해석한 디자인과 인간중심 철학을 반영한 감성품질, 안전의 노하우를 기반으로 한 첨단 기술  넓어진 실내 공간 및 혁신기술, 글로벌 전동화 전략에 따른 최신 파워트레인",11407,"Onyx Black(717) ","Vapour Grey ","Platinum Grey(731) ","Crystal White(707) ","Brigth Dusk ","Silver Dawn(735) ","Denim Blue(723) ",NULL,NULL,NULL,"#18171a","#9b9c9f","#4c4743","#ebebeb","#d8d1cf","#a9a9ab","#5d6673",NULL,NULL,NULL
"한국","르노코리아","더 뉴 SM6",2871,3708,"중형","가솔린, LPG","9.2","13.6","140","225",2024,11439,"당신의 일상을 가슴 뛰게 할 퍼포먼스  새로운 심장, 새로운 SM6  Feel the Drive, The New SM6",11440,"클라우드 펄 ","샌드 그레이 ","하이랜드 실버 ","어반 그레이 ","메탈릭 블랙 ","버건디 레드 ","빈티지 레드 ","퍼플 블랙 ","아메시스트 블랙 ",NULL,"#ECEDE7","#938f83","#cccbd0","#323339","#050710","#812922","#812922","#2D2138","#2D2138",NULL
"유럽","푸조","All-New e-2008",5290,5490,"소형 SUV","전기","4.9","4.9","100","136",2023,11552,"Choose PEUGEOT, Choose PEUGEOT’s EV  당신이 누구인지, 무엇이 가장 중요한지, 어디를 가든지 의 답은 간단합니다    e-2008은 강력한 퍼포먼스 전기차 라인으로서 고성능, 저탄소, 새로운 주행 감각이 특징인  신개념 퍼포먼스인‘네오 퍼포먼스’를 만들어내고 있습니다 ",11553,"Vertigo Blue ","Cumulus Grey ","Nimbus Grey ","Onyx Black ","Pearlescent White ","Pearl White ","Bianca White ","Elixir Red ","Fusion Orange ",NULL,"#1579df","#939496","#545351","#020202","#e5e5e2","#e5e5e5","#f1f1f1","#b0061f","#c96106",NULL
"한국","현대","카운티 일렉트릭",19984,20994,"승합","전기","5.9","5.9","184","338",2024,11904,"친환경 도시에 적합한 친환경 에너지  기존 내연기관 버스보다 깨끗하게, 안전하게, 편리하게 생활을 바꾸는 카운티 전기버스와 함께 새로운 친환경 라이프를 경험하세요  기존 내연기관버스가 줄 수 없는 최고의 경제성",11905,"에크루베이지 투톤(RAA) ","고유도색(OT) ","레몬옐로우(WEY) ","크리미 화이트(YAW) ",NULL,NULL,NULL,NULL,NULL,NULL,"#ddd9d8","#ffffff","#f4da62","#F6F5F2",NULL,NULL,NULL,NULL,NULL,NULL
"유럽","벤츠","AMG GT",18260,25360,"스포츠카","가솔린","7","7","476","585",2021,11940,"가장 순수한 형태의 질주 본능  레이싱 트랙부터 일상까지 모든 것이 가능한 퍼포먼스  레이싱 카와 세이프티 카가 하나로",11941,"AMG Green Hell Magno(376) ","Selenite Grey(992) ","Designo Selenite Grey(297) ","Designo Graphite Grey Magno(818) ","High-tech Silver(922) ","Jupiter Red(589) ","Black(040) ","Obsidian Black(197) ","Brilliant Blue(896) ","Designo Brilliant Blue Magno(644) ","#378132","#6a6d6f","#6b6e71","#202328","#bfbfc4","#a0130d","#0f0f0f","#424242","#090b75","#2f457e"
"유럽","DS","DS3 Crossback E-Tense",5690,5790,"소형 SUV","전기","4.9","4.9","100","100",2022,12077,"DS 3 CROSSBACK E-TENSE / LUXURY GOES 100% ELECTRIC  DS 3 크로스백 E-텐스는 DS 오토모빌 브랜드 최초의 순수 전기차로서 프리미엄 B 세그먼트 시장의 새로운 시대를 열었습니다   1회 충전으로 WLTP 기준 최대 320km* 주행이 가능하며 소음과 진동없이 즐겁고 편안한 드라이빙 경험을 제공합니다 ",13135,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"한국","기아","모닝 어반",1175,1540,"경형","가솔린","15.7","15.7","76","76",2020,12263,"Morning Urban  도심형 주행기술과 멀티미디어로 즐거워진 도시 생활  심플한 바디와 아이코닉 포인트의 엣지 있는 하모니  도심형 주행기술 복잡한 도심에서 쉽고 편하게 운전하다",9959,"티타늄 실버(1M) ","아스트로 그레이(M7G) ","오로라 블랙 펄(ABP) ","허니비(B2Y) ","클리어 화이트(UD) ","스파클링 실버(KCS) ","밀키 베이지(M9Y) ","샤이니 레드(A2R) ",NULL,NULL,"#45494c","#51524d","#0f0f0f","#c4983f","#F8FAF9","#E7E8E9","#E9E8DF","#CA5358",NULL,NULL
"한국","쉐보레","리얼 뉴 콜로라도",4050,4889,"화물","가솔린","7.9","8.3","312","312",2022,12480,"멈출 수 없는 모험의 시작, REAL NEW COLORADO,  험준한 주행환경에서 더욱 돋보이는 압도적 퍼포먼스  탑승자의 안전을 완벽하게 지켜주는 CHEVROLET PROVEN SAFETY",12481,"샌드 듄(GTL) ","턱시도 블랙(GBA) ","토파즈 블루(GLT) ","애쉬 그레이(G9K) ","체리팝 레드(GSK) ","퓨어 화이트(GAZ) ",NULL,NULL,NULL,NULL,"#9f8575","#0D0D0E","#0f4d9e","#c5ccd4","#9b2830","#EDEDF3",NULL,NULL,NULL,NULL
"미국","지프","Gladiator",7990,7990,"화물","가솔린","6.2","6.5","284","284",2023,12737,"GLADIATOR RUBICON  지금까지 경험해보지 못한 특별함을 가진 ALL-NEW Jeep? Gladiator는 진정한 픽업트럭의 면모를 갖추고 있습니다   지프가 자랑하는 4륜구동 시스템으로 아무리 험난한 지형에서도 거침없이 질주합니다 ",12738,"Black ","Firecracker Red ","Hydro Blue Pearl ","Gator ","Sarge Green ","High Velocity ","Bright White ","Sting-Gray ","Silver Zynith ","Granite Crystal Metallic ","#0a0e12","#c51927","#006eac","#3b3527","#41452c","#d6bf01","#f0f0e8","#383838","#737373","#393e41"
"유럽","벤츠","GLB-Class",5560,7500,"소형 SUV","가솔린, 디젤","9","14.2","150","306",2023,12755,"매뉴얼이 필요 없는 직관적 컨트롤  여러 가지 편리한 기능들이 차 안을 항상 편안한 공간으로 만들어 줍니다   어떤 길에서도 안정적으로 움직일 수 있도록 도와줍니다 ",12757,"Mountain Grey(787) ","Iridium Silver(775) ","Manufaktur Patagonia Red(993U) ","Rose Gold Metallic(817) ","Cosmos Black(191) ","Night Black(696) ","Denim Blue(667) ","Galaxy Blue(813) ","Digital white(144U) ","Polar White(149U) ","#6c696a","#b2b1b5","#e41439","#b29995","#464744","#151515","#2c2e42","#3038b4","#fafafa","#fafafa"
"유럽","벤츠","GLA-Class",6090,8320,"준중형 SUV","가솔린","8.6","11.5","190","387",2023,12808,"선도적이며 진보적인 디자인은 역동성과 우아함을 더해주고, 강인함을 표출합니다   The new GLA만의 빈틈 없는 편안함  그 어느 때보다  뛰어난 공간감과 스포티함, 최고의 소재로 당신의 주행을 즐겁게 해줍니다 ",12810,"Mountain Grey(787) ","Mountain Grey Magno(662U) ","Iridium Silver(775) ","Manufaktur Patagonia Red(993U) ","Cosmos Black(191) ","Night Black(696) ","Denim Blue(667) ","Digital white(144U) ","Polar White(149U) ",NULL,"#6c696a","#424242","#b2b1b5","#e41439","#464744","#151515","#2c2e42","#fafafa","#fafafa",NULL
"한국","현대","디 올 뉴 투싼",2603,3822,"준중형 SUV","가솔린, 디젤","11","14.8","180","184",2024,12966,"새로운 라이프스타일의 시대, SUV의 패러다임을 바꿉니다   3세대 플랫폼과 더욱 진보한 파워트레인  투싼의 첨단 운전자 보조 시스템이 일상의 편리함을 넘어 라이프스타일을 변화시킵니다   이동수단을 넘어 일상을 위한 공간으로 더 오래 머물수록 그 가치는 빛이 납니다 ",12970,"티탄 그레이 메탈릭(R4G) ","오션 인디고 펄(PS8) ","쉬머링 실버 메탈릭(R2T) ","팬텀 블랙 펄(TCM) ","크림슨 레드 펄(YP6) ","아마존 그레이 메탈릭(A5G) ","실키 브론즈 메탈릭(B6S) ","크리미 화이트 펄(TW3) ","티타늄 그레이 매트(Y3G) ",NULL,"#1a2227","#18202b","#a8abae","#010000","#991521","#464c45","#6f5e54","#dddddd","#636268",NULL
"유럽","벤츠","The New E-Class",6780,12980,"준대형","가솔린, 디젤, 전기, 하이브리드","9.1","13.7","194","435",2023,13063,"끝없는 진화로 비즈니스 세단의 정점으로 거듭난 The new E-Class   75년 역사를 자랑하는 E-클래스의 헤리티지를 바탕으로 설계된  클래식한 라인과 모던한 디자인의 결합 ",118238,"Verde Silver(188U) ","Graphite Grey(831U) ","Manufaktur Alpine Grey(956U) ","High-tech Silver(922U) ","Manufaktur Hyacinth Red Metallic(996U) ","Black(040U) ","Obsidian Black(197U) ","Nautic Blue Metallic(595U) ","Velvet Brown Metallic(771U) ","Polar White(149U) ","#4a5e5d","#5b5c61","#8f8e94","#bfbfc4","#a0130d","#0f0f0f","#424242","#28324f","#81746c","#fafafa"
"한국","현대","디 올 뉴 투싼 HEV",3170,4143,"준중형 SUV","가솔린, 하이브리드","14.7","16.2","180","180",2023,13185,"새로운 라이프스타일의 시대, SUV의 패러다임을 바꿉니다   투싼 하이브리드는 다이내믹한 주행성능과 탁월한 연비 효율을 실현하는 차세대 SUV 입니다   통합형 배터리를 적용하여 중량 저감 및 연비 효율을 증대  유압 발생기능 및 제어기능을 통합하고 제동 시 모터를 이용한 전자제어로 선형적인 제동감을 구현하였습니다 ",13184,"티탄 그레이 메탈릭(R4G) ","오션 인디고 펄(PS8) ","쉬머링 실버 메탈릭(R2T) ","팬텀 블랙 펄(TCM) ","크림슨 레드 펄(YP6) ","아마존 그레이 메탈릭(A5G) ","실키 브론즈 메탈릭(B6S) ","크리미 화이트 펄(TW3) ","티타늄 그레이 매트(Y3G) ",NULL,"#1a2227","#18202b","#a8abae","#010000","#991521","#464c45","#6f5e54","#dddddd","#636268",NULL
"유럽","BMW","The New 5 Series",6660,8840,"준대형","가솔린, 디젤, 전기, 하이브리드","7.9","17.5","184","530",2023,13324,"가장 완벽한 스포티 비즈니스 세단   다이내믹한 실루엣과 절제된 디자인을 통해 비즈니스 세단의 지적인 이미지  혁신적이고 효율적인 플러그인 하이브리드 ",13322,"Phytonic Blue(C1M) ","Individual Tansanit blue metallic ","Bluestone(C2Y) ","Aventurine Red(C57) ","Black(668) ","Carbon Black(416) ","Black Sapphire metallic(475) ","Alpine White(300) ","Mineral White metallic(A96) ","Skyscraper Grey metallic(C4W) ","#235780","#0f223a","#6c777d","#86100d","#020403","#05080e","#030406","#d7d8d2","#d5d6d0","#646a6a"
"유럽","BMW","New 6 Series",8410,11610,"준대형","가솔린, 디젤","9.3","13.5","190","340",2024,13559,"매력적이고 개성 넘치는 디자인의 세계로   우아한 디자인, 편안한 승차감, 거침없는 주행 성능  지루할 틈 없는 특별한 여정을 위한 자동차 ",13560,"Phytonic Blue(C1M) ","Portimao Blue Metallic(C31) ","Bluestone(C2Y) ","Piemont Red(C3C) ","Carbon Black(416) ","Black Sapphire metallic(475) ","Alpine White(300) ","Mineral White metallic(A96) ","Skyscraper Grey metallic(C4W) ","Burnina Grey(C3E) ","#235780","#182a56","#6c777d","#5d1b1d","#05080e","#030406","#d7d8d2","#d5d6d0","#646a6a","#5c5351"
"유럽","미니","The New Countryman",4770,6550,"소형 SUV","가솔린","11.6","11.6","136","136",2024,13571,"BIGGER  BADDER  TOUGHER THAN EVER   대담하게 도심을 가로지르고 거침없이 산길을 오르는 자동차  위대한 모험을 떠날 준비를 마친 당신의 일상에 영감을 더해보세요 ",13574,"Nanuq White(C6A) ","Melting Silver(C6B) ","Midnight Black(C4R) ","Rooftop Grey ","Island Blue ","Chili Red(C74) ","British Racing Green(C3B) ","Rebel Green ","Sage Green ",NULL,"#fffff","#9d9c97","#0e1110","#726967","#004562","#79060d","#006600","#031f0e","#405758",NULL
"한국","현대","더 뉴 코나 HEV",2724,3255,"소형 SUV","가솔린, 하이브리드","17.4","19.3","105","105",2022,13582,"KONA Hybrid  역동적이고 미래지향적인 디자인, 시각적으로 넓고 편안한 공간감  다양한 첨단 편의 사양, 노이즈 개선  Hybrid Technology",13583,"아틀라스 화이트 + 어비스 블랙 펄(SW1) ","에코트로닉 그레이 펄 + 어비스 블랙 펄(PE0) ","팬텀 블랙 펄 +  에코트로닉 그레이 펄(PE0) ","팬텀 블랙 펄 + 얼티밋 레드 메탈릭(R20) ","팬텀 블랙 펄 + 이그나이트 플레임(MF1) ","어비스 블랙 펄 + 이그나이트 레드(MF1) ","팬텀 블랙 펄 + 다이브 인 제주(UT1) ","팬텀 블랙 펄 + 서피블루 메탈릭(V71) ","팬텀 블랙 펄 + 다크나이트 그레이 펄(YG1) ","팬텀 블랙 펄 + 정글 그린 펄(YH1) ","#eaeaea","#3a3c3d","#000000","#000000","#000000","#AF171D","#000000","#000000","#000000","#000000"
"유럽","폭스바겐","The New Jetta",2950,3285,"준중형","가솔린","13.4","13.4","150","150",2021,13676,"제대로 타다  The all-new Jetta  시선을 사로잡는 디자인, 마음을 사로잡는 기술   40여 년간 7세대를 거치며 증명된 기본기로 컴팩트 세단이 보여줄 수 있는 궁극의 즐거움을 선사합니다 ",13677,"Platinum Gray Metallic ","Pure White ","Pyrite Silver Metallic ","Deep Black ","Blue Silk ",NULL,NULL,NULL,NULL,NULL,"#454f59","#e5e9e8","#c4c8c8","#0c0f18","#064065",NULL,NULL,NULL,NULL,NULL
"한국","제네시스","더 뉴 G70",4347,5326,"준대형","가솔린","8.8","11.2","304","370",2023,13710,"The NEW GENESIS G70 / 움직임, 그것은 우리의 DNA  2020년 디자인 정체성을 더하고 스포티한 감성을 강화한 럭셔리 퍼포먼스 세단으로 재탄생  최첨단 안전 기능이 결집된 G70는 안정감 있는 드라이빙을 선사합니다   압도적인 퍼포먼스와 스포티한 주행 감성을 강화해 운전의 즐거움을 한 층 더합니다 ",13711,"우유니 화이트(UYH) ","세빌 실버(SSS) ","카본 메탈(N5M) ","비크 블랙(PH3) 일반","그레이스풀 그레이(E5E) ","바트나 그레이(GRY) ","마칼루 그레이(NCM) ","카와 블루(BLE) ","로얄 블루(RY5) ","레피스 블루(PS5) ","#ffffff","#AFADAE","#152029","#0d151a","#242C26","#a2a09d","#232C33","#102461","#001133","#013170"
"유럽","롤스로이스","New Ghost",47100,60400,"대형","가솔린","5.6","5.6","600","600",2022,13799,"‘New Ghost’는 롤스로이스의 상징이라 할 수 있는 팬텀 아래에 자리한 세단으로  보다 감각적인 디자인, 그리고 한층 역동적인 디테일을 갖춘 것이 특징이다 ",13800,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","벤틀리","All New Flying Spur",32920,34700,"대형","가솔린","6.8","6.8","550","550",2024,13830,"시대를 앞서가다 NEW FLYING SPUR V8   강력한 4 0리터 V8 엔진이 장착된 FLYING SPUR는 경이로운 성능과 현대적인 장인 정신이 조화롭게 어우러져 있습니다   흠 잡을 데 없는 완벽한 차체 밸런스와 한층 더 업그레이드 된 인테리어와 함께 운전자와 탑승자 모두 세련되고 새로운 경험을 할 수 있도록 설계 되었습니다 ",13832,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","BMW","M",6080,24940,"스포츠카","전기, 가솔린, 하이브리드","4.1","10.4","306","625",2024,14168,""" Sheer Driving Pleasure ""  보다 순수한 드라이빙의 즐거움을 위한 자동차  Motorsport "" M """,14170,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","폭스바겐","The New Passat GT",4313,5322,"중형","디젤","15.7","15.7","190","190",2020,14955,"파사트 GT의 디자인은 언제나 자신감 넘치는 인상을 만들어줍니다   중요한 비지니스에 동행하거나 가족과 함께 하는 평범한 일상에서도 당신의 훌륭한 동반자가 될 것 입니다 ",14957,"Manganese Gray Metallic ","Moonstone Gray ","Pure White ","Pyrite Silver Metallic ","Deep Black Pearl Effect ",NULL,NULL,NULL,NULL,NULL,"#424650","#5e5e66","#e5e9e8","#c4c8c8","#0a0d16",NULL,NULL,NULL,NULL,NULL
"일본","혼다","New Accord",3790,4650,"준대형","가솔린, 하이브리드","13.9","17.5","145","194",2022,15473," 하이브리드의 핵심 기술인 2모터 시스템은 모터 출력 184마력, 최대토크 32 1kg 실현  소형화, 경량화를 실현한 리튬이온 배터리는 엔진의 힘으로 발전시킨 전기와 감속을 통해 재생시킨 전기를 효율적으로 축적하여 주행용 모터에 공급하며, accord-hybrid performance 032 0 i-VTEC 앳킨슨 싸이클 엔진을 사용합니다 ",15487,"Platinum White Pearl ","Lunar Silver Metallic ","Modern Steel Metallic ","Crystal Black Pearl ","Sonic Black Pearl ",NULL,NULL,NULL,NULL,NULL,"#faf9f7","#a5a6a8","#45464b","#403d43","#4f5c64",NULL,NULL,NULL,NULL,NULL
"유럽","재규어","The New F-Type",10351,11001,"스포츠카","가솔린","8","9.8","300","575",2021,15683,"개성을 위한 당신만의 열정   이동이 감동이 되는 공간   시선을 사로잡는 스타일 The New F-Type",15686,"Eiger Grey ","Santorini Black ","Indus Silver ","Caldera Red ","Firenze Red ","Bluefire Blue ","Portfolio Blue ","Fuji White ","British Racing Green ",NULL,"#6b6d6f","#181815","#d0d0d0","#bc0a22","#a60d23","#005d9a","#0a1423","#ecefeb","#061815",NULL
"유럽","벤틀리","New Bentayga",29600,39390,"대형 SUV","가솔린","6.7","6.7","550","550",2024,15929,"력셔리 SUV의 완벽한 변화 New BENTAYGA V8   누구도 따라올 수 없는 파워,정교한 장인 정신, 최첨단 기술 그리고 공기의 흐름을 통해 날렵한 라인이 만들어지는  이 아름다운 작품은 새로운 시대의 시작을 알립니다",15931,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
"유럽","BMW","New 4 Series",5860,7630,"중형","가솔린, 디젤","10.4","15","184","387",2024,16090,"새로운 매력, 과감함과 우아함을   독보적인 디자인은 스포티한 퍼포먼스로 이어져 뛰어난 민첩성과 눈길을 잡아끄는 성능으로 짜릿한 흥분을 만들어냅니다 ",16091,"Individual Tansanit blue metallic ","Portimao Blue Metallic(C31) ","Arctic Race Blue Metallic(C4F) ","Black Sapphire metallic(475) ","San Marino Green ","San Remo Green(C4E) ","Alpine White(300) ","Mineral White metallic(A96) ","Brooklyn Grey(C3P) ","Brooklyn Grey(C4P) ","#0f223a","#182a56","#738d9d","#030406","#41502d","#1c210d","#d7d8d2","#d5d6d0","#9da3a3","#9da3a3"
"유럽","아우디","The New R8",25757,25757,"스포츠카","가솔린","6","6","610","610",2022,16092,"Performance is an attitude  The New Audi R8 V10 Performance  강력한 존재감의 싱글 프레임, 미드 엔진의 탑재를 암시하듯 날카롭게 다듬은 측면 라인  후방에 높게 장착된 디퓨저  모든 면에서 인상적인 퍼포먼스 ",16094,"Myth Black Metallic(LY9T) ","Daytona Gray Pearlescent ","Kemora Grey Metallic ","Suzuka Gray Metallic ","Vegas Yellow ","Are Blue ","Ascari Blue Metallic ","Ibis White ","Tango Red Metallic(LY3U) ",NULL,"#090909","#585858","#5f6873","#b4b5b8","#e2aa0e","#0652aa","#153372","#e1e0dc","#95060c",NULL
"유럽","벤츠","The New S-Class",14180,29900,"대형","가솔린, 전기, 하이브리드, 디젤","7.5","12.6","286","612",2024,16096,"The new S-Class는 확신과 책임감이라는 본질에 집중합니다   어떤 조건에서도 운전자가 신뢰할 수 있도록 상황을 먼저 인지하고,  함께 움직이며, 탑승자의 안전을 최우선으로 고려하는 신중함까지 갖춘 최고의 파트너 ",16097,"Black ＆ White ","Emerald Green Metallic(989U) ","Kalahari Gold(802) ","Graphite Grey(831U) ","Selenite Grey Metallic(992U) ","Manufaktur Selenite Grey Magno(297U) ","Graphite grey(0041) ","Graphite Metallic(041) ","High-tech Silver(922U) ","Mojave Silver(859) ","#000000","#18221f","#bdac9b","#5b5c61","#6a6d6f","#6b6e71","#6a6e69","#16191e","#bfbfc4","#b2b1b5"
"유럽","포르쉐","Panamera",15030,31780,"스포츠카","가솔린, 전기, 하이브리드","7.1","8","336","642",2022,16153,"탄탄하고 유려하며, 뚜렷한 윤곽과 강력한 근육질이 돋보입니다   긴 휠베이스, 더 짧아진 전면 오버행과 길어진 후면 오버행에서 느껴지는 시각적 역동성  옆모습의 두드러진 윤곽은 고유의 웨이스트라인과 경쾌한 느낌을 강조합니다 ",16154,"Night Blue Metallic ","Gentian Blue Metallic ","Aventurine Green Metallic ","Gt Silver Metallic ","Dolomite Silver Metallic ","Volcano Grey Metallic ","Amethyst Metallic ","Copper Ruby Metallic ","Black ","Jet Black Metallic ","#1d2738","#253b6c","#3c3c32","#cccccc","#adb7b9","#252625","#4e283c","#502b3a","#000000","#000000"
"미국","테슬라","Model Y",5299,8535,"중형 SUV","전기","4.8","5.4","476","490",2024,16205,"Model Y는 모든 Tesla 차량과 마찬가지로 동급 차종 중 가장 안전한 자동차가 되도록 설계되었습니다   Model Y는 성인 7명*이 탑승하고 장비도 적재할 수 있을 만큼 다재다능합니다   높은 좌석 위치와 낮은 대시보드 위치는 운전자에게 탁 트인 전방 도로 시야를 제공합니다 ",16207,"Pearl White Multi-Coat ","Solid Black ","Stealth Grey ","Quicksilver ","Midnight Silver Metallic ","Deep Blue Metallic ","Red Multi-Coat ","Ultra Red ",NULL,NULL,"#ffffff","#000000","#3c3d45","#626069","#5c616b","#1e449f","#cc1220","#8f0008",NULL,NULL
